6159,4.3,3.0,-1.3,0,0.06
6173,3.9,2.7,-1.2,0,0.08
6188,3.4,2.3,-1.1,0,0.10
6202,3.0,2.1,-1.0,0,0.11
6216,2.7,1.8,-0.9,0,0.12
6231,2.4,1.6,-0.8,0,0.14
6245,2.1,1.4,-0.7,0,0.15
6259,1.8,1.2,-0.6,0,0.16
6274,1.6,1.0,-0.6,0,0.17
6289,1.4,0.9,-0.5,0,0.17
6303,1.2,0.8,-0.5,0,0.18
6318,1.1,0.6,-0.4,0,0.19
6332,0.9,0.5,-0.4,0,0.19
6346,0.8,0.4,-0.4,0,0.20
6361,0.7,0.3,-0.3,0,0.20
6375,0.5,0.2,-0.3,0,0.21
6389,0.4,0.2,-0.3,0,0.21
6404,0.4,0.1,-0.3,0,0.21
6418,0.3,0.0,-0.3,0,0.22
6432,0.2,-0.0,-0.3,0,0.22
6494,0.1,-0.1,-0.3,0.02,0
6508,-0.2,-0.3,-0.2,0.02,0
6523,-0.3,-0.2,0.1,0.02,0
6538,-0.2,0.7,0.9,0.03,0
6552,0.6,1.9,1.3,0.05,0
6566,2.3,4.9,2.6,0.09,0
6582,4.6,4.3,-0.3,0,0.00
6596,5.1,3.9,-1.2,0,0.02
6610,4.9,3.5,-1.4,0,0.04
6625,4.4,3.1,-1.3,0,0.06
6639,3.9,2.7,-1.2,0,0.08
6653,3.5,2.4,-1.1,0,0.10
6668,3.1,2.1,-1.0,0,0.11
6682,2.8,1.8,-0.9,0,0.12
6696,2.4,1.6,-0.8,0,0.14
6711,2.2,1.4,-0.8,0,0.15
6725,1.9,1.2,-0.7,0,0.16
6740,1.7,1.0,-0.6,0,0.17
6755,1.5,0.9,-0.6,0,0.18
6769,1.3,0.8,-0.5,0,0.18
6784,1.1,0.6,-0.5,0,0.19
6798,1.0,0.5,-0.4,0,0.20
6812,0.8,0.4,-0.4,0,0.20
6827,0.7,0.3,-0.4,0,0.21
6841,0.6,0.3,-0.3,0,0.21
6855,0.5,0.2,-0.3,0,0.22
6870,0.4,0.1,-0.3,0,0.22
6884,0.3,0.0,-0.3,0,0.23
6898,0.2,-0.0,-0.2,0,0.23
6960,0.2,-0.1,-0.3,0.02,0
6974,-0.2,-0.3,-0.2,0.02,0
6989,-0.3,-0.3,0.1,0.02,0
7004,-0.2,0.7,0.8,0.03,0
7018,0.6,1.9,1.3,0.06,0
7032,2.3,4.9,2.6,0.09,0
7048,4.6,4.4,-0.2,0,0.00
7062,5.1,3.9,-1.2,0,0.02
7076,4.9,3.5,-1.4,0,0.04
7091,4.4,3.1,-1.3,0,0.06
7105,3.9,2.7,-1.2,0,0.08
7119,3.5,2.4,-1.1,0,0.09
7134,3.1,2.1,-1.0,0,0.11
7148,2.8,1.8,-0.9,0,0.12
7162,2.4,1.6,-0.8,0,0.13
7177,2.2,1.4,-0.7,0,0.14
7191,1.9,1.2,-0.7,0,0.15
7206,1.7,1.1,-0.6,0,0.16
7221,1.5,0.9,-0.5,0,0.17
7235,1.3,0.8,-0.5,0,0.18
7249,1.1,0.7,-0.4,0,0.18
7264,1.0,0.6,-0.4,0,0.19
7278,0.8,0.5,-0.4,0,0.19
7292,0.7,0.4,-0.3,0,0.20
7307,0.6,0.3,-0.3,0,0.20
7321,0.5,0.2,-0.2,0,0.21
7335,0.4,0.2,-0.2,0,0.21
7350,0.3,0.1,-0.2,0,0.21
7364,0.2,0.0,-0.2,0,0.22
7426,0.2,-0.0,-0.2,0.01,0
7441,-0.2,-0.2,-0.1,0.01,0
7455,-0.4,-0.2,0.2,0.02,0
7470,-0.2,0.9,1.1,0.03,0
7484,0.6,2.5,1.9,0.06,0
7499,2.2,5.2,3.0,0.10,0
7514,4.5,4.6,0.1,0,0.00
7528,5.1,4.2,-0.9,0,0.02
7542,4.8,3.7,-1.1,0,0.03
7557,4.3,3.3,-1.0,0,0.05
7571,3.9,2.9,-0.9,0,0.06
7585,3.4,2.6,-0.8,0,0.07
7600,3.1,2.3,-0.8,0,0.08
7614,2.7,2.0,-0.7,0,0.09
7628,2.4,1.8,-0.6,0,0.10
7643,2.1,1.6,-0.6,0,0.11
7658,1.9,1.4,-0.5,0,0.12
7672,1.6,1.2,-0.4,0,0.13
7687,1.5,1.0,-0.4,0,0.13
7701,1.3,0.9,-0.4,0,0.14
7715,1.1,0.8,-0.4,0,0.14
7730,1.0,0.6,-0.3,0,0.15
7744,0.8,0.5,-0.3,0,0.15
7758,0.7,0.4,-0.3,0,0.16
7773,0.6,0.4,-0.3,0,0.16
7787,0.5,0.3,-0.3,0,0.16
7801,0.5,0.2,-0.2,0,0.17
7816,0.4,0.1,-0.2,0,0.17
7831,0.3,0.1,-0.2,0,0.17
7891,0.2,0.0,-0.2,0.01,0
7907,-0.1,-0.3,-0.2,0.02,0
7921,-0.3,-0.3,0.0,0.02,0
7936,-0.2,0.7,0.9,0.03,0
7950,0.6,3.0,2.3,0.07,0
7965,2.1,5.3,3.3,0.11,0
7980,4.1,4.9,0.7,0,0.01
7994,4.6,4.4,-0.2,0,0.01
8008,4.4,3.9,-0.5,0,0.02
8023,3.9,3.5,-0.4,0,0.03
8037,3.5,3.1,-0.4,0,0.03
8051,3.1,2.7,-0.4,0,0.04
8066,2.8,2.4,-0.3,0,0.04
8080,2.4,2.1,-0.3,0,0.05
8094,2.2,1.9,-0.3,0,0.05
8109,1.9,1.6,-0.3,0,0.06
8124,1.7,1.4,-0.2,0,0.06
8138,1.5,1.2,-0.2,0,0.06
8153,1.3,1.1,-0.2,0,0.07
8167,1.1,0.9,-0.2,0,0.07
8181,1.0,0.8,-0.2,0,0.07
8196,0.8,0.7,-0.2,0,0.07
8210,0.7,0.6,-0.1,0,0.08
8224,0.6,0.5,-0.1,0,0.08
8239,0.5,0.4,-0.1,0,0.08
8253,0.4,0.3,-0.1,0,0.08
8267,0.3,0.2,-0.1,0,0.08
8282,0.2,0.2,-0.1,0,0.08
8296,0.2,0.1,-0.1,0,0.09
8357,0.1,-0.0,-0.1,0.01,0
8373,-0.2,-0.3,-0.1,0.01,0
8387,-0.4,-0.3,0.1,0.01,0
8401,-0.3,0.7,1.0,0.02,0
8416,0.6,3.0,2.5,0.06,0
8431,2.0,5.2,3.2,0.11,0
8445,4.1,4.7,0.6,0,0.01
8460,4.6,4.3,-0.4,0,0.01
8474,4.3,3.8,-0.5,0,0.02
8488,3.9,3.4,-0.5,0,0.03
8503,3.5,3.0,-0.5,0,0.04
8517,3.1,2.7,-0.4,0,0.04
8531,2.7,2.3,-0.4,0,0.05
8546,2.4,2.1,-0.4,0,0.05
8560,2.1,1.8,-0.3,0,0.06
8574,1.9,1.6,-0.3,0,0.06
8589,1.7,1.4,-0.3,0,0.07
8604,1.5,1.2,-0.2,0,0.07
8619,1.3,1.0,-0.2,0,0.07
8633,1.1,0.9,-0.2,0,0.08
8647,0.9,0.7,-0.2,0,0.08
8662,0.8,0.6,-0.2,0,0.09
8676,0.7,0.5,-0.2,0,0.09
8690,0.6,0.4,-0.2,0,0.09
8705,0.5,0.3,-0.2,0,0.09
8719,0.4,0.2,-0.1,0,0.09
8733,0.3,0.2,-0.1,0,0.10
8748,0.2,0.1,-0.1,0,0.10
8762,0.2,0.0,-0.1,0,0.10
8823,0.1,-0.1,-0.2,0.01,0
8838,-0.2,-0.3,-0.1,0.01,0
8853,-0.4,-0.4,0.1,0.01,0
8867,-0.2,0.8,1.0,0.03,0
8882,0.6,2.7,2.1,0.06,0
8896,2.2,5.0,2.8,0.10,0
